	A	B	C	D	E	F	G	H	I	J	K	L	M	N	P	Q	S
A	0	4	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
B	4	0	2	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
C	-1	2	0	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	3
D	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	8	-1	-1	-1	-1	2
E	1	-1	-1	-1	0	3	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1
F	-1	2	-1	-1	-1	0	-1	-1	-1	6	4	-1	-1	-1	-1	-1	-1
G	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	4	4	-1	10	-1
H	-1	-1	4	-1	-1	-1	-1	0	-1	-1	3	7	-1	-1	-1	-1	-1
I	-1	-1	-1	-1	6	-1	-1	-1	0	1	-1	5	-1	-1	-1	-1	-1
J	-1	-1	-1	-1	-1	6	-1	-1	1	0	3	-1	-1	3	-1	-1	-1
K	-1	-1	-1	-1	-1	4	-1	3	-1	3	0	9	-1	-1	3	-1	-1
L	-1	-1	-1	8	-1	-1	-1	7	-1	-1	9	0	-1	-1	-1	10	-1
M	-1	-1	-1	-1	-1	-1	4	-1	5	-1	-1	-1	0	-1	-1	-1	-1
N	-1	-1	-1	-1	-1	-1	4	-1	-1	3	-1	-1	-1	0	2	-1	-1
P	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	2	0	-1	-1
Q	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	10	-1	-1	-1	0	-1
S	-1	-1	3	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
